experiment_name,scene_name,run_dir,source_path,source_root,image_count,train_view_count,test_view_count,iterations,is_backup
03-19-baseline-a-2026,office_0,/home/ilhyeonchu/ReCompose3D/PriorProbe3DGS-gaussian/outputs/gaussian_direct/experiments/03-19-baseline-a-2026,/home/ilhyeonchu/ReCompose3D/PriorProbe3DGS/data/public_datasets/replica_colmap/office_0,/home/ilhyeonchu/ReCompose3D/PriorProbe3DGS/data/public_datasets/replica_colmap,97,,,1000,0
03-19-baseline-a-2026,office_0,/home/ilhyeonchu/ReCompose3D/PriorProbe3DGS-gaussian/outputs/gaussian_direct/experiments/03-19-baseline-a-2026/office_0,/mnt/3dgs-ssd/3dgs-stage/priorprobe3dgs/replica_colmap/office_0,/mnt/3dgs-ssd/3dgs-stage/priorprobe3dgs/replica_colmap,97,,,7000,0
03-19-baseline-a-2026,room_0,/home/ilhyeonchu/ReCompose3D/PriorProbe3DGS-gaussian/outputs/gaussian_direct/experiments/03-19-baseline-a-2026/room_0,/mnt/3dgs-ssd/3dgs-stage/priorprobe3dgs/replica_colmap/room_0,/mnt/3dgs-ssd/3dgs-stage/priorprobe3dgs/replica_colmap,97,,,7000,0
03-19-baseline-b-2026,office_0,/home/ilhyeonchu/ReCompose3D/PriorProbe3DGS-gaussian/outputs/gaussian_direct/experiments/03-19-baseline-b-2026/office_0,/mnt/3dgs-ssd/3dgs-stage/priorprobe3dgs/replica_colmap_multi/office_0,/mnt/3dgs-ssd/3dgs-stage/priorprobe3dgs/replica_colmap_multi,96,,,7000,0
03-19-baseline-b-2026,room_0,/home/ilhyeonchu/ReCompose3D/PriorProbe3DGS-gaussian/outputs/gaussian_direct/experiments/03-19-baseline-b-2026/room_0,/mnt/3dgs-ssd/3dgs-stage/priorprobe3dgs/replica_colmap_multi/room_0,/mnt/3dgs-ssd/3dgs-stage/priorprobe3dgs/replica_colmap_multi,96,,,7000,0
03-21-baseline-15k-2026,office_0,/home/ilhyeonchu/ReCompose3D/PriorProbe3DGS-gaussian/outputs/gaussian_direct/experiments/03-21-baseline-15k-2026/office_0,/mnt/3dgs-ssd/3dgs-stage/priorprobe3dgs/replica_colmap_multi/office_0,/mnt/3dgs-ssd/3dgs-stage/priorprobe3dgs/replica_colmap_multi,96,,,15000,0
03-21-baseline-15k-2026,room_0,/home/ilhyeonchu/ReCompose3D/PriorProbe3DGS-gaussian/outputs/gaussian_direct/experiments/03-21-baseline-15k-2026/room_0,/mnt/3dgs-ssd/3dgs-stage/priorprobe3dgs/replica_colmap_multi/room_0,/mnt/3dgs-ssd/3dgs-stage/priorprobe3dgs/replica_colmap_multi,96,,,15000,0
03-21-baseline-15k-2026,room_0_backup_20260318_132328,/home/ilhyeonchu/ReCompose3D/PriorProbe3DGS-gaussian/outputs/gaussian_direct/experiments/03-21-baseline-15k-2026/room_0_backup_20260318_132328,/mnt/3dgs-ssd/3dgs-stage/priorprobe3dgs/replica_colmap_multi/room_0,/mnt/3dgs-ssd/3dgs-stage/priorprobe3dgs/replica_colmap_multi,96,,,15000,1
03-19-baseline-smoke-2026,office_0,/home/ilhyeonchu/ReCompose3D/PriorProbe3DGS-gaussian/outputs/gaussian_direct/experiments/03-19-baseline-smoke-2026/office_0,/mnt/3dgs-ssd/3dgs-stage/priorprobe3dgs/replica_colmap/office_0,/mnt/3dgs-ssd/3dgs-stage/priorprobe3dgs/replica_colmap,97,,,1,0
03-19-baseline-smoke-2026,room_0,/home/ilhyeonchu/ReCompose3D/PriorProbe3DGS-gaussian/outputs/gaussian_direct/experiments/03-19-baseline-smoke-2026/room_0,/home/ilhyeonchu/ReCompose3D/PriorProbe3DGS/data/public_datasets/replica_colmap/room_0,/home/ilhyeonchu/ReCompose3D/PriorProbe3DGS/data/public_datasets/replica_colmap,97,,,1,0
03-21-baseline-15k-2026,office_0,/home/ilhyeonchu/ReCompose3D/PriorProbe3DGS-gaussian/outputs/gaussian_direct/experiments/gaussian_direct_baseline_from_scratch_vanilla_3dgs_multi_15000/office_0,/mnt/3dgs-ssd/3dgs-stage/priorprobe3dgs/replica_colmap_multi/office_0,/mnt/3dgs-ssd/3dgs-stage/priorprobe3dgs/replica_colmap_multi,96,,,15000,0
03-21-baseline-15k-2026,room_0,/home/ilhyeonchu/ReCompose3D/PriorProbe3DGS-gaussian/outputs/gaussian_direct/experiments/gaussian_direct_baseline_from_scratch_vanilla_3dgs_multi_15000/room_0,/mnt/3dgs-ssd/3dgs-stage/priorprobe3dgs/replica_colmap_multi/room_0,/mnt/3dgs-ssd/3dgs-stage/priorprobe3dgs/replica_colmap_multi,96,,,15000,0
03-21-baseline-15k-2026,room_0_backup_20260320_124631,/home/ilhyeonchu/ReCompose3D/PriorProbe3DGS-gaussian/outputs/gaussian_direct/experiments/gaussian_direct_baseline_from_scratch_vanilla_3dgs_multi_15000/room_0_backup_20260320_124631,/mnt/3dgs-ssd/3dgs-stage/priorprobe3dgs/replica_colmap_multi/room_0,/mnt/3dgs-ssd/3dgs-stage/priorprobe3dgs/replica_colmap_multi,96,,,15000,1
