dataset_family,dataset_label,experiment_name,scene_id,protection_mode,target_psnr,time_to_target_sec,total_time_sec,psnr_15000,ssim_15000,lpips_15000,gaussians_0,gaussians_3000,gaussians_15000,protected_3000,protected_15000,target_visible_min,target_visible_max
object_centric_dense_384,Object-centric dense 384-view,03-20-baseline-div-384-15k-2026,room_0,none,10.628532409667969,118.847082,594.2354075768963,12.487881660461426,0.5459524393081665,0.3359781801700592,100000,1152886,3916981,,,144,384
object_centric_dense_384,Object-centric dense 384-view,03-20-baseline-div-384-15k-2026,office_0,none,11.130352973937988,144.412072,722.0603584530763,12.951544761657715,0.5773675441741943,0.3179364502429962,100000,1395688,4795606,,,384,384
object_centric_dense_384,Object-centric dense 384-view,03-20-samescene-div-384-15k-2026,room_0,none,10.628532409667969,124.032383,620.1619126070291,12.43500804901123,0.53803551197052,0.3492640554904938,200000,1291896,4042500,,,144,384
object_centric_dense_384,Object-centric dense 384-view,03-20-samescene-div-384-15k-2026,office_0,none,11.130352973937988,150.958467,754.7923339707777,12.976933479309082,0.5890350341796875,0.30406665802001953,200000,1541066,4926541,,,384,384
object_centric_dense_384,Object-centric dense 384-view,03-21-samescene-div-384-weak-15k-2026,room_0,weak(0.02),10.628532409667969,112.027473,560.1373671968468,12.374943733215332,0.5295525789260864,0.3520362079143524,200000,1136436,3549813,100000,100000,144,384
object_centric_dense_384,Object-centric dense 384-view,03-21-samescene-div-384-weak-15k-2026,office_0,weak(0.02),11.130352973937988,138.395447,691.9772328911349,12.838061332702637,0.5537205934524536,0.3350534439086914,200000,1395379,4342981,100000,100000,384,384
roomwide_384,Room-wide 384-view,03-21-baseline-rw-384-15k-2026,room_0,none,10.5682373046875,160.942096,804.7104814262129,12.28219223022461,0.618870198726654,0.2949766218662262,100000,1321531,5519919,,,158,384
roomwide_384,Room-wide 384-view,03-21-baseline-rw-384-15k-2026,office_0,none,10.17326545715332,178.470948,892.3547409600578,12.08999252319336,0.609119713306427,0.31194618344306946,100000,1479462,6460656,,,124,384
roomwide_384,Room-wide 384-view,03-21-samescene-rw-384-15k-2026,room_0,none,10.5682373046875,168.557215,842.7860753959976,12.325146675109863,0.6206886172294617,0.29368001222610474,200000,1464170,5686544,99243,74441,158,384
roomwide_384,Room-wide 384-view,03-21-samescene-rw-384-15k-2026,office_0,none,10.17326545715332,187.978705,939.8935252879746,12.30894947052002,0.625828742980957,0.2971493899822235,200000,1636817,6850703,99172,71026,124,384
roomwide_384,Room-wide 384-view,03-21-samescene-rw-384-weak-15k-2026,room_0,weak(0.02),10.5682373046875,162.927219,814.6360936318524,12.244332313537598,0.6135476231575012,0.2995116710662842,200000,1325831,5228865,100000,100000,158,384
roomwide_384,Room-wide 384-view,03-21-samescene-rw-384-weak-15k-2026,office_0,weak(0.02),10.17326545715332,183.540522,917.7026084912941,12.183032035827637,0.6204885244369507,0.30146661400794983,200000,1558255,6401951,100000,100000,124,384
