scene_id,label,experiment_name,target_object_id,target_category,prior_object_id,asset_format,original_count,inserted_count,inserted_ratio,survived_3000,survival_ratio_3000,survived_30000,survival_ratio_30000
room_0,prior_100k_30000,03-24-prior100k-30k-2026,6,lamp,replica_room_0_obj_6,gaussian,15786,10434,0.6609654123907259,1889,0.1810427448725321,384,0.03680276020701553
room_0,prior_100k_30000,03-24-prior100k-30k-2026,9,sofa,replica_room_0_obj_9,gaussian,47762,31571,0.661006658012646,28610,0.9062113965347945,15066,0.47721009787463176
room_0,prior_100k_30000,03-24-prior100k-30k-2026,77,sofa,replica_room_0_obj_77,gaussian,53683,35485,0.6610100031667381,31873,0.8982105114837255,16430,0.4630125405100747
room_0,prior_100k_30000,03-24-prior100k-30k-2026,74,chair,replica_room_0_obj_74,gaussian,34054,22510,0.6610089857285488,20491,0.9103065304309196,12670,0.5628609506885829
office_0,prior_100k_30000,03-24-prior100k-30k-2026,9,sofa,replica_office_0_obj_9,gaussian,45382,28939,0.6376757304658235,23716,0.8195169148899409,8861,0.3061957911468952
office_0,prior_100k_30000,03-24-prior100k-30k-2026,7,sofa,replica_office_0_obj_7,gaussian,35493,22633,0.6376750345138478,12019,0.5310387487297309,4055,0.17916316882428313
office_0,prior_100k_30000,03-24-prior100k-30k-2026,58,table,replica_office_0_obj_58,gaussian,32030,20424,0.6376522010615049,16618,0.813650607128868,6890,0.3373482177830004
office_0,prior_100k_30000,03-24-prior100k-30k-2026,61,chair,replica_office_0_obj_61,gaussian,43916,28004,0.6376719191183168,23851,0.8516997571775461,14028,0.5009284387944579
room_0,prior_25k_30000,03-24-prior25k-30k-2026,6,lamp,replica_room_0_obj_6,gaussian,15786,2609,0.16527302673254782,720,0.2759678037562284,347,0.133001149865849
room_0,prior_25k_30000,03-24-prior25k-30k-2026,9,sofa,replica_room_0_obj_9,gaussian,47762,7893,0.16525689878983293,7112,0.9010515646775624,4835,0.6125680983149626
room_0,prior_25k_30000,03-24-prior25k-30k-2026,77,sofa,replica_room_0_obj_77,gaussian,53683,8871,0.16524784382392937,7867,0.8868222297373464,5017,0.5655506707248338
room_0,prior_25k_30000,03-24-prior25k-30k-2026,74,chair,replica_room_0_obj_74,gaussian,34054,5627,0.165237563869149,5314,0.9443753332148569,4124,0.7328949706770926
office_0,prior_25k_30000,03-24-prior25k-30k-2026,9,sofa,replica_office_0_obj_9,gaussian,45382,7235,0.15942444140848794,6218,0.8594333102971665,3071,0.42446440912232203
office_0,prior_25k_30000,03-24-prior25k-30k-2026,7,sofa,replica_office_0_obj_7,gaussian,35493,5658,0.15941171498605358,3622,0.6401555319901026,1490,0.26334393778720394
office_0,prior_25k_30000,03-24-prior25k-30k-2026,58,table,replica_office_0_obj_58,gaussian,32030,5106,0.15941305026537622,4277,0.8376419898159029,2359,0.4620054837446142
office_0,prior_25k_30000,03-24-prior25k-30k-2026,61,chair,replica_office_0_obj_61,gaussian,43916,7001,0.1594179797795792,6371,0.9100128553063848,4869,0.6954720754177974
