scene_id,group,label,experiment_name,target_psnr,time_to_target_sec,total_time_sec,iter_0_psnr,iter_3000_psnr,iter_15000_psnr,iter_30000_psnr,iter_30000_ssim,iter_30000_lpips,iter_30000_gaussians,delta_final_psnr_vs_baseline,prior_original_total,prior_inserted_total,prior_survived_3000,prior_survived_30000,prior_survival_ratio_3000,prior_survival_ratio_30000
room_0,extension,baseline_30000,03-24-baseline-30k-2026,40.31810760498047,18.830854,282.46280723717064,11.234102204442024,40.31810760498047,46.72246170043945,47.699649810791016,0.9937553405761719,0.018098535016179085,202074,,0,0,,,,
office_0,extension,baseline_30000,03-24-baseline-30k-2026,34.646602630615234,28.250123,282.5012334221974,13.053640112280846,34.646602630615234,44.308284759521484,46.1383171081543,0.9910106658935547,0.022649994120001793,239706,,0,0,,,,
room_0,extension,prior_100k_30000,03-24-prior100k-30k-2026,40.31810760498047,21.77123,326.56844742177054,11.490964189171791,43.46347427368164,47.37968063354492,48.36491012573242,0.9940482974052429,0.017617354169487953,241682,0.6652603149414062,151285,100000,82863,44550,0.82863,0.4455
office_0,extension,prior_100k_30000,03-24-prior100k-30k-2026,34.646602630615234,52.100821,312.6049262699671,13.21896381676197,34.318511962890625,43.64547348022461,46.03466796875,0.9910445213317871,0.02187403477728367,248926,-0.10364913940429688,156821,100000,76204,33834,0.76204,0.33834
room_0,extension,prior_25k_30000,03-24-prior25k-30k-2026,40.31810760498047,19.660249,294.90373180480674,11.415851846337318,43.576019287109375,47.22171401977539,48.17558288574219,0.9940469264984131,0.01793050765991211,212279,0.4759330749511719,151285,25000,21013,14323,0.84052,0.57292
office_0,extension,prior_25k_30000,03-24-prior25k-30k-2026,34.646602630615234,28.984459,289.8445891891606,13.200549349188805,34.853477478027344,44.32695388793945,45.65896987915039,0.9902743697166443,0.021973954513669014,237415,-0.47934722900390625,156821,25000,20488,11789,0.81952,0.47156
room_0,extension,prior_25k_full_none_30000,03-24-prior25k-fullnone-30k-2026,40.31810760498047,19.751593,296.2738980469294,11.425523266196251,43.616641998291016,46.99802017211914,48.30145263671875,0.9939939975738525,0.01771950162947178,214498,0.6018028259277344,151285,25000,21241,14047,0.84964,0.56188
office_0,extension,prior_25k_full_none_30000,03-24-prior25k-fullnone-30k-2026,34.646602630615234,28.611394,286.11393797490746,13.195955276489258,37.0523567199707,44.6511344909668,46.41163635253906,0.9902257323265076,0.022467277944087982,234093,0.2733192443847656,156821,25000,20728,11870,0.82912,0.4748
room_0,extension,prior_50k_30000,03-24-prior50k-30k-2026,40.31810760498047,20.311452,304.671784682665,11.471595644950867,43.756771087646484,47.20839309692383,47.51869201660156,0.9939653873443604,0.01822969689965248,223191,-0.18095779418945312,151285,50000,41808,25481,0.83616,0.50962
office_0,extension,prior_50k_30000,03-24-prior50k-30k-2026,34.646602630615234,50.601161,303.6069684983231,13.217484593391418,32.48971176147461,42.9247932434082,44.9882698059082,0.9886220097541809,0.026607075706124306,252499,-1.1500473022460938,156821,50000,39605,20388,0.7921,0.40776
room_0,extension,prior_75k_30000,03-24-prior75k-30k-2026,40.31810760498047,20.752275,311.2841261951253,11.482788741588593,43.30350875854492,46.99198913574219,47.85323715209961,0.9938609600067139,0.018018539994955063,224189,0.15358734130859375,151285,75000,62218,34490,0.8295733333333334,0.45986666666666665
office_0,extension,prior_75k_30000,03-24-prior75k-30k-2026,34.646602630615234,30.534169,305.3416924858466,13.22016854584217,37.526756286621094,44.2111930847168,46.10317611694336,0.9903954863548279,0.024302972480654716,245947,-0.0351409912109375,156821,75000,57846,27128,0.77128,0.3617066666666667
room_0,extension,prior_100k_geo_30000,03-24-prior100k-geo-30k-2026,40.31810760498047,21.948598,329.2289632530883,11.343846946954727,41.967010498046875,45.553497314453125,47.92665481567383,0.9939537644386292,0.017532262951135635,249196,0.2270050048828125,151285,100000,79184,53620,0.79184,0.5362
office_0,extension,prior_100k_geo_30000,03-24-prior100k-geo-30k-2026,34.646602630615234,31.153486,311.53486328804865,12.924810454249382,34.910037994384766,45.108638763427734,46.33491134643555,0.9894094467163086,0.02371557056903839,257589,0.19659423828125,156821,100000,56199,34000,0.56199,0.34
