scene_id,label,experiment_name,target_object_id,target_category,prior_object_id,asset_format,original_count,inserted_count,inserted_ratio,survived_3000,survival_ratio_3000,survived_30000,survival_ratio_30000
room_0,prior_100k_30000,gaussian_direct_surface_rgb_prior_100k_30000,6,lamp,replica_room_0_obj_6,gaussian,15786,10434,0.6609654123907259,4874,0.46712670116925437,1364,0.13072647115200306
room_0,prior_100k_30000,gaussian_direct_surface_rgb_prior_100k_30000,9,sofa,replica_room_0_obj_9,gaussian,47762,31571,0.661006658012646,29483,0.9338633556111622,8508,0.26948782110164393
room_0,prior_100k_30000,gaussian_direct_surface_rgb_prior_100k_30000,77,sofa,replica_room_0_obj_77,gaussian,53683,35485,0.6610100031667381,33494,0.9438917852613781,8237,0.23212625052839228
room_0,prior_100k_30000,gaussian_direct_surface_rgb_prior_100k_30000,74,chair,replica_room_0_obj_74,gaussian,34054,22510,0.6610089857285488,21453,0.9530430919591293,3096,0.1375388716126166
office_0,prior_100k_30000,gaussian_direct_surface_rgb_prior_100k_30000,9,sofa,replica_office_0_obj_9,gaussian,45382,28939,0.6376757304658235,26420,0.9129548360344172,11623,0.40163792805556514
office_0,prior_100k_30000,gaussian_direct_surface_rgb_prior_100k_30000,7,sofa,replica_office_0_obj_7,gaussian,35493,22633,0.6376750345138478,19633,0.8674501833605797,3548,0.1567622498122211
office_0,prior_100k_30000,gaussian_direct_surface_rgb_prior_100k_30000,58,table,replica_office_0_obj_58,gaussian,32030,20424,0.6376522010615049,19525,0.9559831570701136,8492,0.4157853505679593
office_0,prior_100k_30000,gaussian_direct_surface_rgb_prior_100k_30000,61,chair,replica_office_0_obj_61,gaussian,43916,28004,0.6376719191183168,26720,0.9541494072275389,7049,0.25171404085130694
room_0,prior_full_30000,gaussian_direct_surface_rgb_prior_full_30000,6,lamp,replica_room_0_obj_6,gaussian,15786,15786,1.0,8449,0.5352210819713671,1872,0.11858608893956671
room_0,prior_full_30000,gaussian_direct_surface_rgb_prior_full_30000,9,sofa,replica_room_0_obj_9,gaussian,47762,47762,1.0,45777,0.9584397638289854,12062,0.25254386332230644
room_0,prior_full_30000,gaussian_direct_surface_rgb_prior_full_30000,77,sofa,replica_room_0_obj_77,gaussian,53683,53683,1.0,51453,0.958459847624015,11476,0.2137734478326472
room_0,prior_full_30000,gaussian_direct_surface_rgb_prior_full_30000,74,chair,replica_room_0_obj_74,gaussian,34054,34054,1.0,32889,0.9657896282375051,5660,0.16620661302636988
office_0,prior_full_30000,gaussian_direct_surface_rgb_prior_full_30000,9,sofa,replica_office_0_obj_9,gaussian,45382,45382,1.0,42060,0.9267991714776784,13519,0.2978934379269314
office_0,prior_full_30000,gaussian_direct_surface_rgb_prior_full_30000,7,sofa,replica_office_0_obj_7,gaussian,35493,35493,1.0,31836,0.8969655988504776,7353,0.20716761051474938
office_0,prior_full_30000,gaussian_direct_surface_rgb_prior_full_30000,58,table,replica_office_0_obj_58,gaussian,32030,32030,1.0,30826,0.9624102403996253,11571,0.3612550733687168
office_0,prior_full_30000,gaussian_direct_surface_rgb_prior_full_30000,61,chair,replica_office_0_obj_61,gaussian,43916,43916,1.0,42479,0.9672784406594408,12849,0.29258129155660806
room_0,prior_25k_30000,gaussian_direct_surface_rgb_prior_25k_30000,6,lamp,replica_room_0_obj_6,gaussian,15786,2609,0.16527302673254782,1551,0.5944806439248754,850,0.32579532387888077
room_0,prior_25k_30000,gaussian_direct_surface_rgb_prior_25k_30000,9,sofa,replica_room_0_obj_9,gaussian,47762,7893,0.16525689878983293,7354,0.9317116432281769,4200,0.5321170657544659
room_0,prior_25k_30000,gaussian_direct_surface_rgb_prior_25k_30000,77,sofa,replica_room_0_obj_77,gaussian,53683,8871,0.16524784382392937,8304,0.9360838687859316,3214,0.3623041370758652
room_0,prior_25k_30000,gaussian_direct_surface_rgb_prior_25k_30000,74,chair,replica_room_0_obj_74,gaussian,34054,5627,0.165237563869149,5166,0.9180735738404123,1481,0.2631953083348143
office_0,prior_25k_30000,gaussian_direct_surface_rgb_prior_25k_30000,9,sofa,replica_office_0_obj_9,gaussian,45382,7235,0.15942444140848794,6642,0.9180373185901866,3477,0.48058051140290253
office_0,prior_25k_30000,gaussian_direct_surface_rgb_prior_25k_30000,7,sofa,replica_office_0_obj_7,gaussian,35493,5658,0.15941171498605358,4650,0.8218451749734889,1548,0.2735949098621421
office_0,prior_25k_30000,gaussian_direct_surface_rgb_prior_25k_30000,58,table,replica_office_0_obj_58,gaussian,32030,5106,0.15941305026537622,4803,0.9406580493537016,2074,0.4061887974931453
office_0,prior_25k_30000,gaussian_direct_surface_rgb_prior_25k_30000,61,chair,replica_office_0_obj_61,gaussian,43916,7001,0.1594179797795792,6392,0.913012426796172,3621,0.5172118268818741
room_0,prior_50k_30000,gaussian_direct_surface_rgb_prior_50k_30000,6,lamp,replica_room_0_obj_6,gaussian,15786,5217,0.33048270619536296,2289,0.43875790684301325,977,0.18727237876174047
room_0,prior_50k_30000,gaussian_direct_surface_rgb_prior_50k_30000,9,sofa,replica_room_0_obj_9,gaussian,47762,15786,0.33051379757966587,14559,0.9222729000380083,6091,0.3858482199417205
room_0,prior_50k_30000,gaussian_direct_surface_rgb_prior_50k_30000,77,sofa,replica_room_0_obj_77,gaussian,53683,17742,0.33049568764785875,16542,0.9323638823131553,5997,0.33801149814000675
room_0,prior_50k_30000,gaussian_direct_surface_rgb_prior_50k_30000,74,chair,replica_room_0_obj_74,gaussian,34054,11255,0.3305044928642744,10337,0.9184362505553088,2733,0.24282541092847623
office_0,prior_50k_30000,gaussian_direct_surface_rgb_prior_50k_30000,9,sofa,replica_office_0_obj_9,gaussian,45382,14469,0.31882684764884756,13135,0.9078028889349644,6044,0.41772064413573845
office_0,prior_50k_30000,gaussian_direct_surface_rgb_prior_50k_30000,7,sofa,replica_office_0_obj_7,gaussian,35493,11317,0.3188516045417406,9598,0.8481046213660864,3252,0.28735530617654853
office_0,prior_50k_30000,gaussian_direct_surface_rgb_prior_50k_30000,58,table,replica_office_0_obj_58,gaussian,32030,10212,0.31882610053075244,9668,0.9467293380336859,4278,0.4189189189189189
office_0,prior_50k_30000,gaussian_direct_surface_rgb_prior_50k_30000,61,chair,replica_office_0_obj_61,gaussian,43916,14002,0.3188359595591584,12702,0.9071561205542066,5816,0.415369232966719
room_0,prior_75k_30000,gaussian_direct_surface_rgb_prior_75k_30000,6,lamp,replica_room_0_obj_6,gaussian,15786,7826,0.4957557329279108,3257,0.41617684640940455,1638,0.20930232558139536
room_0,prior_75k_30000,gaussian_direct_surface_rgb_prior_75k_30000,9,sofa,replica_room_0_obj_9,gaussian,47762,23678,0.4957497592228131,22058,0.9315820592955486,8750,0.3695413463974998
room_0,prior_75k_30000,gaussian_direct_surface_rgb_prior_75k_30000,77,sofa,replica_room_0_obj_77,gaussian,53683,26614,0.4957621593428087,25009,0.9396933944540468,7492,0.281505974299241
room_0,prior_75k_30000,gaussian_direct_surface_rgb_prior_75k_30000,74,chair,replica_room_0_obj_74,gaussian,34054,16882,0.49574205673342336,15775,0.934427200568653,4143,0.24540931169292737
office_0,prior_75k_30000,gaussian_direct_surface_rgb_prior_75k_30000,9,sofa,replica_office_0_obj_9,gaussian,45382,21704,0.4782512890573355,19784,0.9115370438628824,9308,0.42886103943973464
office_0,prior_75k_30000,gaussian_direct_surface_rgb_prior_75k_30000,7,sofa,replica_office_0_obj_7,gaussian,35493,16975,0.4782633195277942,14824,0.8732842415316642,3775,0.22238586156111928
office_0,prior_75k_30000,gaussian_direct_surface_rgb_prior_75k_30000,58,table,replica_office_0_obj_58,gaussian,32030,15318,0.4782391507961286,14508,0.9471210340775558,6321,0.4126517822169996
office_0,prior_75k_30000,gaussian_direct_surface_rgb_prior_75k_30000,61,chair,replica_office_0_obj_61,gaussian,43916,21003,0.4782539393387376,19712,0.9385325905822978,7201,0.34285578250726084
room_0,prior_100k_geo_30000,gaussian_direct_surface_rgb_prior_100k_geo_30000,6,lamp,replica_room_0_obj_6,gaussian,15786,10434,0.6609654123907259,3320,0.3181905309564884,1847,0.17701744297488978
room_0,prior_100k_geo_30000,gaussian_direct_surface_rgb_prior_100k_geo_30000,9,sofa,replica_room_0_obj_9,gaussian,47762,31571,0.661006658012646,21948,0.6951949573976117,8333,0.2639447594311235
room_0,prior_100k_geo_30000,gaussian_direct_surface_rgb_prior_100k_geo_30000,77,sofa,replica_room_0_obj_77,gaussian,53683,35485,0.6610100031667381,29409,0.8287727208679724,8349,0.23528251373819925
room_0,prior_100k_geo_30000,gaussian_direct_surface_rgb_prior_100k_geo_30000,74,chair,replica_room_0_obj_74,gaussian,34054,22510,0.6610089857285488,19701,0.875211017325633,3259,0.14478009773434028
office_0,prior_100k_geo_30000,gaussian_direct_surface_rgb_prior_100k_geo_30000,9,sofa,replica_office_0_obj_9,gaussian,45382,28939,0.6376757304658235,18861,0.6517502332492484,10683,0.36915581049794394
office_0,prior_100k_geo_30000,gaussian_direct_surface_rgb_prior_100k_geo_30000,7,sofa,replica_office_0_obj_7,gaussian,35493,22633,0.6376750345138478,11808,0.5217160782927583,3749,0.16564308752706225
office_0,prior_100k_geo_30000,gaussian_direct_surface_rgb_prior_100k_geo_30000,58,table,replica_office_0_obj_58,gaussian,32030,20424,0.6376522010615049,15613,0.7644437916177047,8067,0.3949764982373678
office_0,prior_100k_geo_30000,gaussian_direct_surface_rgb_prior_100k_geo_30000,61,chair,replica_office_0_obj_61,gaussian,43916,28004,0.6376719191183168,18545,0.6622268247393229,5556,0.19840022853878017
room_0,prior_50k_geo_30000,gaussian_direct_surface_rgb_prior_50k_geo_30000,6,lamp,replica_room_0_obj_6,gaussian,15786,5217,0.33048270619536296,2122,0.4067471727046195,1201,0.2302089323365919
room_0,prior_50k_geo_30000,gaussian_direct_surface_rgb_prior_50k_geo_30000,9,sofa,replica_room_0_obj_9,gaussian,47762,15786,0.33051379757966587,12270,0.7772709996199164,5277,0.33428354237932345
room_0,prior_50k_geo_30000,gaussian_direct_surface_rgb_prior_50k_geo_30000,77,sofa,replica_room_0_obj_77,gaussian,53683,17742,0.33049568764785875,15171,0.8550896178559351,4173,0.2352045992560027
room_0,prior_50k_geo_30000,gaussian_direct_surface_rgb_prior_50k_geo_30000,74,chair,replica_room_0_obj_74,gaussian,34054,11255,0.3305044928642744,9214,0.8186583740559751,2067,0.18365171035095512
office_0,prior_50k_geo_30000,gaussian_direct_surface_rgb_prior_50k_geo_30000,9,sofa,replica_office_0_obj_9,gaussian,45382,14469,0.31882684764884756,9848,0.6806275485520769,6237,0.4310595065312046
office_0,prior_50k_geo_30000,gaussian_direct_surface_rgb_prior_50k_geo_30000,7,sofa,replica_office_0_obj_7,gaussian,35493,11317,0.3188516045417406,6600,0.5831934258195635,2644,0.23363082088892817
office_0,prior_50k_geo_30000,gaussian_direct_surface_rgb_prior_50k_geo_30000,58,table,replica_office_0_obj_58,gaussian,32030,10212,0.31882610053075244,8414,0.8239326282804543,4512,0.4418331374853114
office_0,prior_50k_geo_30000,gaussian_direct_surface_rgb_prior_50k_geo_30000,61,chair,replica_office_0_obj_61,gaussian,43916,14002,0.3188359595591584,9434,0.6737608913012427,4481,0.32002571061276963
