scene_id,label,experiment_name,target_object_id,target_category,prior_object_id,asset_format,original_count,inserted_count,inserted_ratio,survived_3000,survival_ratio_3000,survived_15000,survival_ratio_15000
room_0,prior_full,gaussian_direct_surface_rgb_prior_full_15000,6,lamp,replica_room_0_obj_6,gaussian,15786,15786,1.0,8437,0.5344609147345749,2359,0.1494362092993792
room_0,prior_full,gaussian_direct_surface_rgb_prior_full_15000,9,sofa,replica_room_0_obj_9,gaussian,47762,47762,1.0,45365,0.9498136593944977,10924,0.2287173903940371
room_0,prior_full,gaussian_direct_surface_rgb_prior_full_15000,77,sofa,replica_room_0_obj_77,gaussian,53683,53683,1.0,51549,0.9602481232419947,11942,0.22245403572825662
room_0,prior_full,gaussian_direct_surface_rgb_prior_full_15000,74,chair,replica_room_0_obj_74,gaussian,34054,34054,1.0,32952,0.9676396311740177,4483,0.13164385975215834
office_0,prior_full,gaussian_direct_surface_rgb_prior_full_15000,9,sofa,replica_office_0_obj_9,gaussian,45382,45382,1.0,42356,0.9333215812436649,15030,0.3311885769688423
office_0,prior_full,gaussian_direct_surface_rgb_prior_full_15000,7,sofa,replica_office_0_obj_7,gaussian,35493,35493,1.0,31809,0.8962048854703745,3402,0.09584988589299298
office_0,prior_full,gaussian_direct_surface_rgb_prior_full_15000,58,table,replica_office_0_obj_58,gaussian,32030,32030,1.0,30673,0.9576334686231658,10066,0.3142678738682485
office_0,prior_full,gaussian_direct_surface_rgb_prior_full_15000,61,chair,replica_office_0_obj_61,gaussian,43916,43916,1.0,42775,0.9740185809272247,11167,0.25428089989980873
room_0,prior_100k,gaussian_direct_surface_rgb_prior_100k_15000,6,lamp,replica_room_0_obj_6,gaussian,15786,10434,0.6609654123907259,4488,0.43013225991949394,1568,0.15027793751198007
room_0,prior_100k,gaussian_direct_surface_rgb_prior_100k_15000,9,sofa,replica_room_0_obj_9,gaussian,47762,31571,0.661006658012646,29425,0.932026226600361,8839,0.2799721263184568
room_0,prior_100k,gaussian_direct_surface_rgb_prior_100k_15000,77,sofa,replica_room_0_obj_77,gaussian,53683,35485,0.6610100031667381,33917,0.9558123150627026,9067,0.25551641538678316
room_0,prior_100k,gaussian_direct_surface_rgb_prior_100k_15000,74,chair,replica_room_0_obj_74,gaussian,34054,22510,0.6610089857285488,21556,0.9576188360728565,3038,0.1349622390048867
office_0,prior_100k,gaussian_direct_surface_rgb_prior_100k_15000,9,sofa,replica_office_0_obj_9,gaussian,45382,28939,0.6376757304658235,26749,0.9243235771795847,12368,0.4273817339921905
office_0,prior_100k,gaussian_direct_surface_rgb_prior_100k_15000,7,sofa,replica_office_0_obj_7,gaussian,35493,22633,0.6376750345138478,20009,0.8840630937127204,5642,0.24928202182653647
office_0,prior_100k,gaussian_direct_surface_rgb_prior_100k_15000,58,table,replica_office_0_obj_58,gaussian,32030,20424,0.6376522010615049,19428,0.9512338425381903,8334,0.4080493537015276
office_0,prior_100k,gaussian_direct_surface_rgb_prior_100k_15000,61,chair,replica_office_0_obj_61,gaussian,43916,28004,0.6376719191183168,26837,0.9583273818025996,9600,0.3428081702613912
room_0,prior_25k,gaussian_direct_surface_rgb_prior_25k_15000,6,lamp,replica_room_0_obj_6,gaussian,15786,2609,0.16527302673254782,1709,0.6550402453047145,994,0.3809888846301265
room_0,prior_25k,gaussian_direct_surface_rgb_prior_25k_15000,9,sofa,replica_room_0_obj_9,gaussian,47762,7893,0.16525689878983293,7306,0.9256303053338402,4036,0.5113391612821487
room_0,prior_25k,gaussian_direct_surface_rgb_prior_25k_15000,77,sofa,replica_room_0_obj_77,gaussian,53683,8871,0.16524784382392937,8349,0.9411565776124451,3062,0.34516965392853116
