experiment_name,label,group,scene_id,protection_mode,prior_sh_reset_mode,prior_target_total_gaussians,sfm_region_replacement_mode,iteration,method,psnr,ssim,lpips,gaussian_count,estimated_elapsed_sec
gaussian_direct_baseline_from_scratch_vanilla_3dgs_multi_roomwide_v2_384_15000,baseline,reference,room_0,none,,,,0,ours_0,8.142288662493229,0.047030019748490304,0.8381272619590163,100000,0.0
gaussian_direct_baseline_from_scratch_vanilla_3dgs_multi_roomwide_v2_384_15000,baseline,reference,room_0,none,,,,500,ours_500,8.848639488220215,0.12932772934436798,0.754206120967865,100000,23.079159
gaussian_direct_baseline_from_scratch_vanilla_3dgs_multi_roomwide_v2_384_15000,baseline,reference,room_0,none,,,,1000,ours_1000,9.017618179321289,0.19017790257930756,0.6986069679260254,135714,46.158317
gaussian_direct_baseline_from_scratch_vanilla_3dgs_multi_roomwide_v2_384_15000,baseline,reference,room_0,none,,,,2000,ours_2000,9.789002418518066,0.3254282772541046,0.5409683585166931,500382,92.316634
gaussian_direct_baseline_from_scratch_vanilla_3dgs_multi_roomwide_v2_384_15000,baseline,reference,room_0,none,,,,3000,ours_3000,10.32485580444336,0.40424033999443054,0.4535878598690033,1098647,138.474951
gaussian_direct_baseline_from_scratch_vanilla_3dgs_multi_roomwide_v2_384_15000,baseline,reference,room_0,none,,,,5000,ours_5000,11.094103813171387,0.495511531829834,0.37571534514427185,2206585,230.791585
gaussian_direct_baseline_from_scratch_vanilla_3dgs_multi_roomwide_v2_384_15000,baseline,reference,room_0,none,,,,7000,ours_7000,11.507367134094238,0.5390611290931702,0.3421446979045868,2988303,323.108219
gaussian_direct_baseline_from_scratch_vanilla_3dgs_multi_roomwide_v2_384_15000,baseline,reference,room_0,none,,,,10000,ours_10000,11.827347755432129,0.5742078423500061,0.3216615915298462,3796578,461.58317
gaussian_direct_baseline_from_scratch_vanilla_3dgs_multi_roomwide_v2_384_15000,baseline,reference,room_0,none,,,,15000,ours_15000,12.233680725097656,0.6134687066078186,0.3009008467197418,4569461,692.374756
gaussian_direct_same_scene_exact_clip_roomwide_v2_384_15000,prior 100K none,reference,room_0,none,,,,0,ours_0,8.011765368282795,0.047613229689886793,0.8292878055945039,200000,0.0
