family_id,label,experiment_name,scene_id,protection_mode,prior_sh_reset_mode,prior_target_total_gaussians,sfm_region_replacement_mode,sfm_removed_point_count,sfm_removed_point_ratio,prior_original_total,prior_kept_total,target_psnr,time_to_target_sec,total_time_sec,iter_0_psnr,iter_0_ssim,iter_0_lpips,iter_0_gaussians,iter_3000_psnr,iter_3000_ssim,iter_3000_lpips,iter_3000_gaussians,iter_15000_psnr,iter_15000_ssim,iter_15000_lpips,iter_15000_gaussians,protected_3000,protected_15000
baseline,baseline,gaussian_direct_baseline_from_scratch_vanilla_3dgs_multi_roomwide_v2_384_15000,room_0,none,,,,,,0,0,10.32485580444336,138.474951,692.3747557080351,8.142288662493229,0.047030019748490304,0.8381272619590163,100000,10.32485580444336,0.40424033999443054,0.4535878598690033,1098647,12.233680725097656,0.6134687066078186,0.3009008467197418,4569461,,
prior_none,prior none,gaussian_direct_same_scene_exact_clip_roomwide_v2_384_15000,room_0,none,,,,,,100000,100000,10.32485580444336,142.970085,714.8504251777194,8.011765368282795,0.047613229689886793,0.8292878055945039,200000,10.486681938171387,0.4230066239833832,0.4424358606338501,1218554,12.270485877990723,0.6155269145965576,0.29919958114624023,4568764,94809,64287
prior_weak,prior weak(0.02),gaussian_direct_same_scene_exact_clip_roomwide_v2_384_weak_15000,room_0,weak(0.02),,,,,,100000,100000,10.32485580444336,138.792701,693.9635063000023,8.011765368282795,0.047613229689886793,0.8292878055945039,200000,10.487410545349121,0.4218098819255829,0.44797542691230774,1120542,12.195068359375,0.6091688275337219,0.30320924520492554,4200452,100000,100000
sh_zero,C sh_zero,gaussian_direct_same_scene_exact_clip_roomwide_v2_384_sh_zero_15000,room_0,none,zero_all,0,none,0,0.0,100000,100000,10.32485580444336,262.670758,1313.3537895157933,8.13888767361641,0.044938697858015075,0.8347298242151737,200000,10.441508293151855,0.41897034645080566,0.4466002285480499,1197645,12.260777473449707,0.6144615411758423,0.2994796335697174,4692917,84576,49524
sh_zero_weak,C sh_zero weak(0.02),gaussian_direct_same_scene_exact_clip_roomwide_v2_384_sh_zero_weak_15000,room_0,weak(0.02),zero_all,0,none,0,0.0,100000,100000,10.32485580444336,151.157584,755.7879213839769,8.13888767361641,0.044938697858015075,0.8347298242151737,200000,10.547811508178711,0.42837560176849365,0.44623804092407227,1134776,12.247349739074707,0.613599956035614,0.3004778027534485,4475639,100000,100000
replace_region,B replace_region,gaussian_direct_same_scene_exact_clip_roomwide_v2_384_replace_region_15000,room_0,none,none,0,aligned_prior_aabb_union,16420,0.1642,100000,100000,10.32485580444336,266.413229,1332.0661474862136,8.170989327132702,0.04962555578094907,0.8236036850139499,183580,10.561450004577637,0.4296535551548004,0.44176867604255676,1195419,12.253632545471191,0.6142246127128601,0.30115821957588196,4601648,93937,64009
replace_region_weak,B replace_region weak(0.02),gaussian_direct_same_scene_exact_clip_roomwide_v2_384_replace_region_weak_15000,room_0,weak(0.02),none,0,aligned_prior_aabb_union,16420,0.1642,100000,100000,10.32485580444336,137.069243,685.3462128113024,8.170989327132702,0.04962555578094907,0.8236036850139499,183580,10.419504165649414,0.4115633964538574,0.4546619653701782,1085658,12.126069068908691,0.602580189704895,0.3081745207309723,4186766,100000,100000
prior_25k,A prior_25k,gaussian_direct_same_scene_exact_clip_roomwide_v2_384_prior_25k_15000,room_0,none,none,25000,none,0,0.0,100000,25000,10.32485580444336,142.536919,712.6845968835987,8.099511548876762,0.04750263720052317,0.8330871053040028,125000,10.56064224243164,0.43079283833503723,0.4372189939022064,1183260,12.289521217346191,0.616339921951294,0.29931262135505676,4667135,24396,18143
prior_50k,A prior_50k,gaussian_direct_same_scene_exact_clip_roomwide_v2_384_prior_50k_15000,room_0,none,none,50000,none,0,0.0,100000,50000,10.32485580444336,142.451911,712.2595550641418,8.066907845437527,0.04764573962893337,0.8307457817718387,150000,10.560683250427246,0.43119433522224426,0.4377981424331665,1194297,12.2940673828125,0.618663489818573,0.2985065281391144,4630131,47400,34498
prior_25k_weak,A prior_25k weak(0.02),gaussian_direct_same_scene_exact_clip_roomwide_v2_384_prior_25k_weak_15000,room_0,weak(0.02),none,25000,none,0,0.0,100000,25000,10.32485580444336,138.581616,692.9080812940374,8.099732771515846,0.04749681396060623,0.832728274166584,125000,10.409895896911621,0.41078436374664307,0.4542028605937958,1061157,12.195473670959473,0.6096200346946716,0.30369648337364197,4347875,25000,25000
prior_50k_weak,A prior_50k weak(0.02),gaussian_direct_same_scene_exact_clip_roomwide_v2_384_prior_50k_weak_15000,room_0,weak(0.02),none,50000,none,0,0.0,100000,50000,10.32485580444336,136.539956,682.6997809791937,8.066879272460938,0.047621860896470025,0.8304613186046481,150000,10.361496925354004,0.40770748257637024,0.4540276825428009,1070078,12.10953426361084,0.6027455925941467,0.3083495795726776,4205251,50000,50000
