dataset_family,experiment_name,scene_id,protection_mode,iteration,psnr,ssim,lpips,gaussian_count,estimated_elapsed_sec,protected_point_count,total_point_count
96_view,gaussian_direct_baseline_from_scratch_vanilla_3dgs_multi_15000,room_0,none,0,10.529029846191406,0.2272655963897705,0.6922868490219116,100000,0.0,,
96_view,gaussian_direct_baseline_from_scratch_vanilla_3dgs_multi_15000,room_0,none,3000,12.851451873779297,0.5761274695396423,0.34339582920074463,1166507,84.353029,,
96_view,gaussian_direct_baseline_from_scratch_vanilla_3dgs_multi_15000,room_0,none,15000,13.653732299804688,0.660018265247345,0.2825828790664673,2571919,421.765147,,
96_view,gaussian_direct_baseline_from_scratch_vanilla_3dgs_multi_15000,office_0,none,0,8.135271072387695,0.05645909905433655,0.7670942544937134,100000,0.0,,
96_view,gaussian_direct_baseline_from_scratch_vanilla_3dgs_multi_15000,office_0,none,3000,12.490562438964844,0.5087805390357971,0.40929123759269714,1212339,89.547757,,
96_view,gaussian_direct_baseline_from_scratch_vanilla_3dgs_multi_15000,office_0,none,15000,13.303287506103516,0.5935389399528503,0.3406592905521393,2706134,447.738783,,
96_view,gaussian_direct_same_scene_exact_clip_15000,room_0,none,0,10.453054428100586,0.227528378367424,0.6811506748199463,200000,0.0,,
96_view,gaussian_direct_same_scene_exact_clip_15000,room_0,none,3000,12.928868293762207,0.5852723717689514,0.333244264125824,1325595,90.956868,,
96_view,gaussian_direct_same_scene_exact_clip_15000,room_0,none,15000,13.741816520690918,0.6699320673942566,0.27153480052948,2706795,454.784341,,
96_view,gaussian_direct_same_scene_exact_clip_15000,office_0,none,0,7.65574836730957,0.05559544637799263,0.7656594514846802,200000,0.0,,
96_view,gaussian_direct_same_scene_exact_clip_15000,office_0,none,3000,12.852413177490234,0.5686218738555908,0.3423364460468292,1429553,98.56343,,
96_view,gaussian_direct_same_scene_exact_clip_15000,office_0,none,15000,13.680407524108887,0.6440250873565674,0.2907118797302246,2910198,492.817148,,
