experiment_name,scene_name,run_dir,source_path,source_root,image_count,train_view_count,test_view_count,iterations,is_backup
baseline_from_scratch_vanilla_3dgs,office_0,/home/ilhyeonchu/ReCompose3D/PriorProbe3DGS-gaussian/outputs/gaussian_direct/experiments/baseline_from_scratch_vanilla_3dgs,/home/ilhyeonchu/ReCompose3D/PriorProbe3DGS/data/public_datasets/replica_colmap/office_0,/home/ilhyeonchu/ReCompose3D/PriorProbe3DGS/data/public_datasets/replica_colmap,97,,,1000,0
baseline_from_scratch_vanilla_3dgs,office_0,/home/ilhyeonchu/ReCompose3D/PriorProbe3DGS-gaussian/outputs/gaussian_direct/experiments/baseline_from_scratch_vanilla_3dgs/office_0,/mnt/3dgs-ssd/3dgs-stage/priorprobe3dgs/replica_colmap/office_0,/mnt/3dgs-ssd/3dgs-stage/priorprobe3dgs/replica_colmap,97,,,7000,0
baseline_from_scratch_vanilla_3dgs,room_0,/home/ilhyeonchu/ReCompose3D/PriorProbe3DGS-gaussian/outputs/gaussian_direct/experiments/baseline_from_scratch_vanilla_3dgs/room_0,/mnt/3dgs-ssd/3dgs-stage/priorprobe3dgs/replica_colmap/room_0,/mnt/3dgs-ssd/3dgs-stage/priorprobe3dgs/replica_colmap,97,,,7000,0
baseline_from_scratch_vanilla_3dgs_multi,office_0,/home/ilhyeonchu/ReCompose3D/PriorProbe3DGS-gaussian/outputs/gaussian_direct/experiments/baseline_from_scratch_vanilla_3dgs_multi/office_0,/mnt/3dgs-ssd/3dgs-stage/priorprobe3dgs/replica_colmap_multi/office_0,/mnt/3dgs-ssd/3dgs-stage/priorprobe3dgs/replica_colmap_multi,96,,,7000,0
baseline_from_scratch_vanilla_3dgs_multi,room_0,/home/ilhyeonchu/ReCompose3D/PriorProbe3DGS-gaussian/outputs/gaussian_direct/experiments/baseline_from_scratch_vanilla_3dgs_multi/room_0,/mnt/3dgs-ssd/3dgs-stage/priorprobe3dgs/replica_colmap_multi/room_0,/mnt/3dgs-ssd/3dgs-stage/priorprobe3dgs/replica_colmap_multi,96,,,7000,0
baseline_from_scratch_vanilla_3dgs_multi_15000,office_0,/home/ilhyeonchu/ReCompose3D/PriorProbe3DGS-gaussian/outputs/gaussian_direct/experiments/baseline_from_scratch_vanilla_3dgs_multi_15000/office_0,/mnt/3dgs-ssd/3dgs-stage/priorprobe3dgs/replica_colmap_multi/office_0,/mnt/3dgs-ssd/3dgs-stage/priorprobe3dgs/replica_colmap_multi,96,,,15000,0
baseline_from_scratch_vanilla_3dgs_multi_15000,room_0,/home/ilhyeonchu/ReCompose3D/PriorProbe3DGS-gaussian/outputs/gaussian_direct/experiments/baseline_from_scratch_vanilla_3dgs_multi_15000/room_0,/mnt/3dgs-ssd/3dgs-stage/priorprobe3dgs/replica_colmap_multi/room_0,/mnt/3dgs-ssd/3dgs-stage/priorprobe3dgs/replica_colmap_multi,96,,,15000,0
baseline_from_scratch_vanilla_3dgs_multi_15000,room_0_backup_20260318_132328,/home/ilhyeonchu/ReCompose3D/PriorProbe3DGS-gaussian/outputs/gaussian_direct/experiments/baseline_from_scratch_vanilla_3dgs_multi_15000/room_0_backup_20260318_132328,/mnt/3dgs-ssd/3dgs-stage/priorprobe3dgs/replica_colmap_multi/room_0,/mnt/3dgs-ssd/3dgs-stage/priorprobe3dgs/replica_colmap_multi,96,,,15000,1
baseline_smoke_vanilla_3dgs,office_0,/home/ilhyeonchu/ReCompose3D/PriorProbe3DGS-gaussian/outputs/gaussian_direct/experiments/baseline_smoke_vanilla_3dgs/office_0,/mnt/3dgs-ssd/3dgs-stage/priorprobe3dgs/replica_colmap/office_0,/mnt/3dgs-ssd/3dgs-stage/priorprobe3dgs/replica_colmap,97,,,1,0
baseline_smoke_vanilla_3dgs,room_0,/home/ilhyeonchu/ReCompose3D/PriorProbe3DGS-gaussian/outputs/gaussian_direct/experiments/baseline_smoke_vanilla_3dgs/room_0,/home/ilhyeonchu/ReCompose3D/PriorProbe3DGS/data/public_datasets/replica_colmap/room_0,/home/ilhyeonchu/ReCompose3D/PriorProbe3DGS/data/public_datasets/replica_colmap,97,,,1,0
gaussian_direct_baseline_from_scratch_vanilla_3dgs_multi_15000,office_0,/home/ilhyeonchu/ReCompose3D/PriorProbe3DGS-gaussian/outputs/gaussian_direct/experiments/gaussian_direct_baseline_from_scratch_vanilla_3dgs_multi_15000/office_0,/mnt/3dgs-ssd/3dgs-stage/priorprobe3dgs/replica_colmap_multi/office_0,/mnt/3dgs-ssd/3dgs-stage/priorprobe3dgs/replica_colmap_multi,96,,,15000,0
gaussian_direct_baseline_from_scratch_vanilla_3dgs_multi_15000,room_0,/home/ilhyeonchu/ReCompose3D/PriorProbe3DGS-gaussian/outputs/gaussian_direct/experiments/gaussian_direct_baseline_from_scratch_vanilla_3dgs_multi_15000/room_0,/mnt/3dgs-ssd/3dgs-stage/priorprobe3dgs/replica_colmap_multi/room_0,/mnt/3dgs-ssd/3dgs-stage/priorprobe3dgs/replica_colmap_multi,96,,,15000,0
gaussian_direct_baseline_from_scratch_vanilla_3dgs_multi_15000,room_0_backup_20260320_124631,/home/ilhyeonchu/ReCompose3D/PriorProbe3DGS-gaussian/outputs/gaussian_direct/experiments/gaussian_direct_baseline_from_scratch_vanilla_3dgs_multi_15000/room_0_backup_20260320_124631,/mnt/3dgs-ssd/3dgs-stage/priorprobe3dgs/replica_colmap_multi/room_0,/mnt/3dgs-ssd/3dgs-stage/priorprobe3dgs/replica_colmap_multi,96,,,15000,1
gaussian_direct_baseline_from_scratch_vanilla_3dgs_multi_smoke_1000,office_0,/home/ilhyeonchu/ReCompose3D/PriorProbe3DGS-gaussian/outputs/gaussian_direct/experiments/gaussian_direct_baseline_from_scratch_vanilla_3dgs_multi_smoke_1000/office_0,/mnt/3dgs-ssd/3dgs-stage/priorprobe3dgs/replica_colmap_multi/office_0,/mnt/3dgs-ssd/3dgs-stage/priorprobe3dgs/replica_colmap_multi,96,,,1000,0
gaussian_direct_baseline_from_scratch_vanilla_3dgs_multi_smoke_1000,room_0,/home/ilhyeonchu/ReCompose3D/PriorProbe3DGS-gaussian/outputs/gaussian_direct/experiments/gaussian_direct_baseline_from_scratch_vanilla_3dgs_multi_smoke_1000/room_0,/mnt/3dgs-ssd/3dgs-stage/priorprobe3dgs/replica_colmap_multi/room_0,/mnt/3dgs-ssd/3dgs-stage/priorprobe3dgs/replica_colmap_multi,96,,,1000,0
gaussian_direct_existing_clip_only_15000,office_0,/home/ilhyeonchu/ReCompose3D/PriorProbe3DGS-gaussian/outputs/gaussian_direct/experiments/gaussian_direct_existing_clip_only_15000/office_0,/mnt/3dgs-ssd/3dgs-stage/priorprobe3dgs/replica_colmap_multi/office_0,/mnt/3dgs-ssd/3dgs-stage/priorprobe3dgs/replica_colmap_multi,96,,,15000,0
gaussian_direct_existing_clip_only_15000,room_0,/home/ilhyeonchu/ReCompose3D/PriorProbe3DGS-gaussian/outputs/gaussian_direct/experiments/gaussian_direct_existing_clip_only_15000/room_0,/mnt/3dgs-ssd/3dgs-stage/priorprobe3dgs/replica_colmap_multi/room_0,/mnt/3dgs-ssd/3dgs-stage/priorprobe3dgs/replica_colmap_multi,96,,,15000,0
gaussian_direct_existing_clip_only_smoke_1000,office_0,/home/ilhyeonchu/ReCompose3D/PriorProbe3DGS-gaussian/outputs/gaussian_direct/experiments/gaussian_direct_existing_clip_only_smoke_1000/office_0,/mnt/3dgs-ssd/3dgs-stage/priorprobe3dgs/replica_colmap_multi/office_0,/mnt/3dgs-ssd/3dgs-stage/priorprobe3dgs/replica_colmap_multi,96,,,1000,0
gaussian_direct_existing_clip_only_smoke_1000,room_0,/home/ilhyeonchu/ReCompose3D/PriorProbe3DGS-gaussian/outputs/gaussian_direct/experiments/gaussian_direct_existing_clip_only_smoke_1000/room_0,/mnt/3dgs-ssd/3dgs-stage/priorprobe3dgs/replica_colmap_multi/room_0,/mnt/3dgs-ssd/3dgs-stage/priorprobe3dgs/replica_colmap_multi,96,,,1000,0
