experiment_name,backend,initialization,status,dataset_name,scene_id,total_optimization_time_sec,time_to_target_quality_sec,target_psnr,final_iteration,psnr,ssim,lpips,gaussian_count,retrieval_accuracy,prior_object_id,prior_category,prior_count,prior_object_ids,warning_count
baseline_from_scratch,,,,,,800.0,600.0,,,26.0,0.87,0.16,120000,,,,,,0
baseline_from_scratch_vanilla_3dgs,vanilla_3dgs,from_scratch,completed,replica,office_0,133.9288343382068,,,7000,12.623485565185547,0.4568593204021454,0.4582959711551666,1882545,,,,,,0
baseline_from_scratch_vanilla_3dgs,vanilla_3dgs,from_scratch,completed,replica,room_0,118.71758099179715,,,7000,13.064375877380371,0.49400874972343445,0.40273797512054443,1598175,,,,,,0
baseline_from_scratch_vanilla_3dgs_multi,vanilla_3dgs,from_scratch,completed,replica,office_0,146.48386396979913,,,7000,12.972103118896484,0.5606258511543274,0.3630542457103729,1986918,,,,0,,0
baseline_from_scratch_vanilla_3dgs_multi,vanilla_3dgs,from_scratch,completed,replica,room_0,139.16562113864347,,,7000,13.309054374694824,0.6249075531959534,0.30592358112335205,1894870,,,,0,,0
baseline_from_scratch_vanilla_3dgs_multi_15000,vanilla_3dgs,from_scratch,completed,replica,office_0,448.4384310650639,,,15000,13.291095733642578,0.5942414402961731,0.33929887413978577,2704063,,,,0,,0
baseline_from_scratch_vanilla_3dgs_multi_15000,vanilla_3dgs,from_scratch,completed,replica,room_0,422.0537022659555,,,15000,13.667689323425293,0.6604282259941101,0.2802464962005615,2581236,,,,0,,0
baseline_smoke_vanilla_3dgs,vanilla_3dgs,from_scratch,completed,replica,office_0,2.670856038108468,,,1,8.195902824401855,0.024942396208643913,0.8737056851387024,100000,,,,,,0
baseline_smoke_vanilla_3dgs,vanilla_3dgs,from_scratch,completed,replica,room_0,2.311260546091944,,,1,9.30715274810791,0.07447542995214462,0.8176722526550293,100000,,,,,,0
oracle_prior,,,,,,600.0,450.0,,,27.5,0.9,0.12,105000,,,,,,0
oracle_prior_vanilla_3dgs,vanilla_3dgs,prior,completed,replica,office_0,136.4332981808111,,,7000,12.65433120727539,0.45828190445899963,0.4550868272781372,1901301,0.9918091893196106,chair_0240,chair,,,0
oracle_prior_vanilla_3dgs,vanilla_3dgs,prior,completed,replica,room_0,121.31136879697442,,,7000,13.09111499786377,0.4967895746231079,0.4005373418331146,1609528,0.998605489730835,chair_0201,chair,,,0
oracle_prior_vanilla_3dgs_clip,vanilla_3dgs,prior,completed,replica,office_0,257.22167184296995,,,7000,12.654738426208496,0.46037307381629944,0.4538658857345581,1909208,0.7022406458854675,chair_0014,chair,1,chair_0014,0
oracle_prior_vanilla_3dgs_clip,vanilla_3dgs,prior,completed,replica,room_0,238.92518839193508,,,7000,13.065972328186035,0.4984480142593384,0.4018752872943878,1609395,0.7662401795387268,chair_0014,chair,1,chair_0014,0
